publication_number,patent_citation,publication_date,assignee,title
EP1942081A2,US3782914A,1974-01-01,Corning Glass Works,Heat treating optical waveguides for oh ion removal
EP1942081A2,US6799440B2,2004-10-05,General Electric Company,Optical fiber deposition tube fused in deuterium atmosphere for attenuation improvement
EP1942081A2,US20050120751A1,2005-06-09,Draka Fibre Technology B.V.,"Method for manufacturing a preform for optical fibres, as well as a method for manufacturing optical fibres"
EP1942081A2,US6952516B2,2005-10-04,"The Furukawa Electric Co., Ltd.",Low attenuation optical fiber
EP1942081A2,US7092610B2,2006-08-15,Showa Electric Wire & Cable Co. Ltd.,Optical fiber for attenuating optical signal
EP1942081A2,DE3027592A1,1982-03-04,"Siemens AG, 1000 Berlin und 8000 München",METHOD FOR PRODUCING A LAYER OF GLASS ON THE INTERNAL SURFACE OF A HOLLOW BODY
EP1942081A2,US4504297A,1985-03-12,At&T Bell Laboratories,Optical fiber preform manufacturing method
EP1942081A2,DE3731604A1,1989-03-30,Philips Patentverwaltung,METHOD FOR PRODUCING A MONOMODE LIGHT FIBER
EP1942081A2,JPH06293530A,1994-10-21,Hitachi Cable Ltd,Production of optical fiber preform
EP1942081A2,US6289698B1,2001-09-18,Corning Incorporated,Method of making a fiber preform with increases in alumina concentration at radial distances
EP1942081A2,AU741032B2,2001-11-22,Corning Incorporated,Decreased h2 sensitivity in optical fiber
EP1942081A2,US6546757B1,2003-04-15,Brown University Research Foundation,"Liquid spray pyrolysis method for the fabrication of optical fiber preforms, with reactant mixing"
EP1942081A2,KR100322131B1,2002-02-04,윤종용,Optical fiber preform having OH barrier and method of fabricating the same
EP1942081A2,CN1119300C,2003-08-27,江苏省东海石英制品总厂,Process for preparing low-hydroxyl quartz tube
EP1942081A2,US6739155B1,2004-05-25,General Electric Company,Quartz making an elongated fused quartz article using a furnace with metal-lined walls
EP1942081A2,FR2823198B1,2003-07-04,Cit Alcatel,METHOD FOR MANUFACTURING LARGE CAPACITY PREFORMS BY MCVD
EP1942081A2,NL1018239C2,2002-12-10,Draka Fibre Technology Bv,Optical fiber and method for manufacturing an optical fiber.
EP1942081A2,DE10218864C1,2003-10-23,Heraeus Tenevo Ag,Production of a cylindrical quartz glass body comprises pretreating a soot body in a protective gas and/or under vacuum in a vitrifying oven after dehydration and before vitrification
EP1942081A2,CN1197798C,2005-04-20,江苏法尔胜光子公司,Method for producing fibre-optical precast stick
EP1942081A2,CN1615279A,2005-05-11,住友电气工业株式会社,"Method of producing higher-purity glass element, high-purity glass element, and production method and device for glass tube"
EP1942081A2,US20040057692A1,2004-03-25,Ball Laura J.,Low loss optical fiber and method for making same
EP1942081A2,US7076140B2,2006-07-11,"Sumitomo Electric Industries, Ltd.","Optical fiber, dispersion compensator, optical transmission line and optical communications system"
EP1942081A2,KR101166205B1,2012-07-18,헤라에우스 테네보 게엠베하,"Synthetic silica glass tube for the production of a preform, method for producing the same in a vertical drawing process and use of said tube"
EP1942081A2,CN1226211C,2005-11-09,长飞光纤光缆有限公司,Manufacture of single mode oplical fibers
EP1942081A2,JP5066784B2,2012-11-07,旭硝子株式会社,Method for producing synthetic quartz glass
EP1942081A2,WO2007069278A2,2007-06-21,Sterlite Optical Technologies Ltd.,Optical fiber having low and uniform optical loss along the entire length and method for fabricating the same
EP1942081A2,US7900481B2,2011-03-08,Corning Incorporated,Method of making an optical fiber
EP1942081A2,WO2008026911A1,2008-03-06,Draka Comteq B. V.,A loose tube optical waveguide fiber assembly
EP1942081A2,CN101323501B,2015-10-07,德雷卡通信技术公司,For the extended baking process of quartz glass deposition tubes
EP1942081A3,US3782914A,1974-01-01,Corning Glass Works,Heat treating optical waveguides for oh ion removal
EP1942081A3,US4388095A,1983-06-14,Siemens Aktiengesellschaft,Method of producing a glass layer on an interior surface of a hollow body
EP1942081A3,US20020144521A1,2002-10-10,Alcatel,Method of manufacturing large capacity preforms by MCVD
EP1942081A3,US20030031441A1,2003-02-13,Draka Fibre Technology B.V.,Optical fibre and method of manufacturing an optical fibre
EP1942081A3,US6546757B1,2003-04-15,Brown University Research Foundation,"Liquid spray pyrolysis method for the fabrication of optical fiber preforms, with reactant mixing"
EP1942081A3,US20050000253A1,2005-01-06,Kang Xie,Method of manufacture of low water peak single mode optical fiber
EP1942081A3,US20050120751A1,2005-06-09,Draka Fibre Technology B.V.,"Method for manufacturing a preform for optical fibres, as well as a method for manufacturing optical fibres"
EP1942081A3,US4504297A,1985-03-12,At&T Bell Laboratories,Optical fiber preform manufacturing method
EP1942081A3,DE3731604A1,1989-03-30,Philips Patentverwaltung,METHOD FOR PRODUCING A MONOMODE LIGHT FIBER
EP1942081A3,JPH06293530A,1994-10-21,Hitachi Cable Ltd,Production of optical fiber preform
EP1942081A3,US6289698B1,2001-09-18,Corning Incorporated,Method of making a fiber preform with increases in alumina concentration at radial distances
EP1942081A3,AU741032B2,2001-11-22,Corning Incorporated,Decreased h2 sensitivity in optical fiber
EP1942081A3,KR100322131B1,2002-02-04,윤종용,Optical fiber preform having OH barrier and method of fabricating the same
EP1942081A3,CN1119300C,2003-08-27,江苏省东海石英制品总厂,Process for preparing low-hydroxyl quartz tube
EP1942081A3,US6739155B1,2004-05-25,General Electric Company,Quartz making an elongated fused quartz article using a furnace with metal-lined walls
EP1942081A3,JP2002258090A,2002-09-11,Furukawa Electric Co Ltd:The,Optical fiber with low loss
EP1942081A3,US6799440B2,2004-10-05,General Electric Company,Optical fiber deposition tube fused in deuterium atmosphere for attenuation improvement
EP1942081A3,DE10218864C1,2003-10-23,Heraeus Tenevo Ag,Production of a cylindrical quartz glass body comprises pretreating a soot body in a protective gas and/or under vacuum in a vitrifying oven after dehydration and before vitrification
EP1942081A3,CN1197798C,2005-04-20,江苏法尔胜光子公司,Method for producing fibre-optical precast stick
EP1942081A3,CN1615279A,2005-05-11,住友电气工业株式会社,"Method of producing higher-purity glass element, high-purity glass element, and production method and device for glass tube"
EP1942081A3,US20040057692A1,2004-03-25,Ball Laura J.,Low loss optical fiber and method for making same
EP1942081A3,US7076140B2,2006-07-11,"Sumitomo Electric Industries, Ltd.","Optical fiber, dispersion compensator, optical transmission line and optical communications system"
EP1942081A3,JP2004177630A,2004-06-24,Showa Electric Wire & Cable Co Ltd,Fiber for attenuation of optical signal
EP1942081A3,KR101166205B1,2012-07-18,헤라에우스 테네보 게엠베하,"Synthetic silica glass tube for the production of a preform, method for producing the same in a vertical drawing process and use of said tube"
EP1942081A3,JP5066784B2,2012-11-07,旭硝子株式会社,Method for producing synthetic quartz glass
EP1942081A3,WO2007069278A2,2007-06-21,Sterlite Optical Technologies Ltd.,Optical fiber having low and uniform optical loss along the entire length and method for fabricating the same
EP1942081A3,US7900481B2,2011-03-08,Corning Incorporated,Method of making an optical fiber
EP1942081A3,WO2008026911A1,2008-03-06,Draka Comteq B. V.,A loose tube optical waveguide fiber assembly
EP1942081A3,CN101323501B,2015-10-07,德雷卡通信技术公司,For the extended baking process of quartz glass deposition tubes
