publication_number,patent_citation,publication_date,assignee,title
EP3319457A1,0,0,0,0
EP3188375A2,0,0,0,None
EP3188391B1,0,0,0,None
EP3280786A1,0,0,0,0
EP3347857A1,0,0,0,0
EP3912998A2,0,0,0,"""GenBank"", Database accession no. XM_005571542"
EP3912998A2,0,0,0,"""NCBI"", Database accession no. NM_010195.2"
EP3912998A2,0,0,0,"CARMON, K.S. ET AL., PROC NATL ACAD SCI U S A, vol. 108, 2011, pages 11452 - 11457"
EP3912998A2,0,0,0,"CARTRON, BLOOD, vol. 99, no. 3, 2002, pages 754 - 758"
EP3912998A2,0,0,0,"DAVIDSON, E.DORANZ, B.J.: ""A high-throughput shotgun mutagenesis approach to mapping B-cell antibody epitope"", IMMUNOLOGY, vol. 143, 2014, pages 13 - 20, XP055788833, DOI: 10.1111/imm.12323"
EP3912998A2,0,0,0,"DE LAU WBARKER N ET AL.: ""Lgr5 homologues associate with Wnt receptors and mediate R-spondin signalling"", NATURE, vol. 476, no. 7360, 4 July 2011 (2011-07-04), pages 293 - 7"
EP3912998A2,0,0,0,"DE LAU, W. ET AL., GENES DEV, vol. 28, 2014, pages 305 - 316"
EP3912998A2,0,0,0,"DE LAU, W. ET AL., NATURE, vol. 476, 2011, pages 293 - 297"
EP3912998A2,0,0,0,"DI ET AL., PLOSONE, 2014"
EP3912998A2,0,0,0,"GULLI, L.F. ET AL.: ""Epidermal growth factor-induced apoptosis in A431 cells can be reversed by reducing the tyrosine kinase activity"", CELL GROWTH DIFFER, vol. 7, no. 2, 1996, pages 173 - 178"
EP3912998A2,0,0,0,"GUNASEKARAN, JBC, vol. 285, 2010, pages 19637 - 19646"
EP3912998A2,0,0,0,"HAARD ET AL., J BIOL CHEM., vol. 274, no. 26, 25 June 1999 (1999-06-25), pages 18218 - 30"
EP3912998A2,0,0,0,"HENNING VON HORSTEN, GLYCOBIOLOGY, vol. 20, no. 12, 2010, pages 1607 - 1618"
EP3912998A2,0,0,0,"J STRUCT BIOL, vol. 191, no. 2, August 2015 (2015-08-01), pages 149 - 55"
EP3912998A2,0,0,0,"J.C. ALMAGROLJ. FRANSSON, FRONTIERS IN BIOSCIENCE, vol. 13, 2008, pages 1619 - 1633"
EP3912998A2,0,0,0,"JUNTTILA, T. T., K. ET AL., CANCER RESEARCH, vol. 70, 2010, pages 4481 - 4489"
EP3912998A2,0,0,0,"LI SSCHMITZ KR ET AL.: ""Structural basis for inhibition of the epidermal growth factor receptor by cetuximab"", CANCER CELL, vol. 7, no. 4, 2005, pages 301 - 11, XP002508255, DOI: 10.1016/J.CCR.2005.03.003"
EP3912998A2,0,0,0,"LINDMO TBOVEN ECUTTITTA FFEDORKO JBUNN PA: ""Determination of the immunoreactive fraction of radiolabeled monoclonal antibodies by linear extrapolation to binding at infinite antigen excess"", J IMMUNOL METHODS, vol. 72, 1984, pages 77 - 89"
EP3912998A2,0,0,0,"MARKS ET AL., J MOL BIOL., vol. 222, no. 3, 5 December 1991 (1991-12-05), pages 581 - 97"
EP3912998A2,0,0,0,"MARKS ET AL., J. MOL. BIOL., vol. 222, no. 3, 5 December 1991 (1991-12-05), pages 581 - 97"
EP3912998A2,0,0,0,"MUSOLINO, JOURNAL OF CLINICAL ONCOLOGY, vol. 26, no. 11, pages 1789 - 1796"
EP3912998A2,0,0,0,"OGISO, H.ISHITANI, R. ET AL.: ""Crystal structure of the complex of human epidermal growth factor and receptor extracellular domains"", CELL, vol. 110, 2002, pages 775 - 787, XP002961395, DOI: 10.1016/S0092-8674(02)00963-7"
