publication_number,patent_citation,publication_date,assignee,title
EP3796089A1,0,0,0,0
EP3751342A1,0,0,0,0
EP3839635A1,0,0,0,0
EP3561394A3,WO2021261730A1,2021-12-30,주식회사 경동나비엔,Heating supply device and method for controlling same
EP3561394A2,WO2021261730A1,2021-12-30,주식회사 경동나비엔,Heating supply device and method for controlling same
EP3811945A1,0,0,0,0
EP3687063A1,US10205381B1,2019-02-12,"Vlt, Inc.",Start-up control in power systems using fixed-ratio power conversion
EP3687063A1,US11183971B2,2021-11-23,Mediatek Inc.,"Method for startup of crystal oscillator with aid of external clock injection, associated crystal oscillator and monitoring circuit therein"
EP3687063A1,TWI746412B,2021-11-11,聯發科技股份有限公司,"Method for startup of crystal oscillator with aid of external clock injection, crystal oscillator and monitoring circuit"
EP3687063A1,CN111934646B,2021-01-22,深圳市汇顶科技股份有限公司,Device for injecting energy into crystal in crystal oscillator and crystal oscillator
EP3674493A1,US10968616B1,2021-04-06,"Subsurface Systems, LLC",Water drainage system
EP3801498A1,0,0,0,0
EP3908110A1,0,0,0,0
EP3531558A1,EP3923480A1,2021-12-15,Stichting IMEC Nederland,Clockless temperature sensor and respective application devices and method
EP3581022B1,NL2021123B1,2019-12-20,Alexander Jozef Lemmen Jacobus,Device for delivering at least a layer of compost and casing soil to a shelving for growing mushrooms
EP3581022B1,NL2021456B1,2020-02-20,Alexander Jozef Lemmen Jacobus,Device for growing mushrooms
EP3581022B1,WO2022031170A2,2022-02-10,Jacobus Alexander Jozef Lemmen,Device and method for growing mushrooms
EP3581320A1,0,0,0,0
EP3607818B1,CA3081056A1,2020-11-20,Jacobus Alexander Jozef Lemmen,Device for growing mushrooms
EP3607818B1,NL2024383B1,2021-08-31,Gerardus Maria Van Doremaele Marcus,Device with coupled beds for growing mushrooms
EP3607818B1,CN111183854B,2021-06-04,杨成梅,"Automatic picking, transporting and bagging integrated system based on mushroom cultivation"
EP3607818B1,WO2022031170A2,2022-02-10,Jacobus Alexander Jozef Lemmen,Device and method for growing mushrooms
EP3657803A1,CN112422933A,2021-02-26,台达电子工业股份有限公司,"Projection device, projection system and operation method"
EP3673726A1,WO2022031170A2,2022-02-10,Jacobus Alexander Jozef Lemmen,Device and method for growing mushrooms
EP3673726B1,WO2022031170A2,2022-02-10,Jacobus Alexander Jozef Lemmen,Device and method for growing mushrooms
EP3693406A1,0,0,0,0
EP3693439A1,0,0,0,0
EP3741085A1,EP3888386A4,2022-02-09,Samsung Electronics Co Ltd,Method and ue for handling ul nas transport message failure in wireless communication network
EP3741085A1,US11252653B2,2022-02-15,Verizon Patent And Licensing Inc.,Method and system for network slice usage subscription
EP3761995A1,0,0,0,0
EP3771687A1,0,0,0,0
EP3777189A1,WO2021112652A1,2021-06-10,한국전자통신연구원,"Method, apparatus, and recording medium for region-based differential image encoding/decoding"
EP3777189A1,WO2021249867A1,2021-12-16,"Interdigital Vc Holdings France, Sas",A method and apparatus for encoding and decoding volumetric video as partitioned patch atlases
EP3777189A1,CN113810763A,2021-12-17,深圳市中兴微电子技术有限公司,"Video processing method, device and storage medium"
EP3801198A1,USD940330S1,2022-01-04,Emfit Oy,Body sensor
EP3801198A1,USD921202S1,2021-06-01,Masimo Corporation,Holder for a blood pressure device
EP3801198A1,USD919100S1,2021-05-11,Masimo Corporation,Holder for a patient monitor
EP3801198A1,USD919094S1,2021-05-11,Masimo Corporation,Blood pressure device
EP3801198A1,USD917704S1,2021-04-27,Masimo Corporation,Patient monitor
EP3801198A1,USD927699S1,2021-08-10,Masimo Corporation,Electrode pad
EP3801198A1,US20210177292A1,2021-06-17,Jabil Inc.,Health and Vital Signs Monitoring Patch with Display and Making of Same
EP3801198A1,USD933232S1,2021-10-12,Masimo Corporation,Blood pressure monitor
